                                                                                ECG                                                                             25.01.2516.42.59200 
Timestamp,Sample
1737823694.0357597,-68
1737823694.0407596,-94
1737823694.0457597,-107
1737823694.0507596,-111
1737823694.0557597,-124
1737823694.0607595,-160
1737823694.0657597,-203
1737823694.0707595,-222
1737823694.0757596,-206
1737823694.0807595,-183
1737823694.0861824,-170
1737823694.0911825,-153
1737823694.0961823,-135
1737823694.1011825,-122
1737823694.1061823,-110
1737823694.1111825,-95
1737823694.1161823,-81
1737823694.1211824,-82
1737823694.1261823,-95
1737823694.1311824,-114
1737823694.1361823,-108
1737823694.1411824,-81
1737823694.1461823,-59
1737823694.1511824,-66
1737823694.1561823,-91
1737823694.1611824,-108
1737823694.166605,-94
1737823694.171605,-66
1737823694.176605,-52
1737823694.181605,-57
1737823694.186605,-69
1737823694.191605,-79
1737823694.196605,-91
1737823694.201605,-84
1737823694.206605,-61
1737823694.211605,-53
1737823694.216605,-69
1737823694.221605,-107
1737823694.226605,-144
1737823694.231605,-162
1737823694.236605,-151
1737823694.241605,-112
1737823694.2470279,-62
1737823694.2520278,-55
1737823694.2570279,-102
1737823694.2620277,-145
1737823694.2670279,-137
1737823694.2720277,-104
1737823694.2770278,-79
1737823694.2820277,-82
1737823694.2870278,-98
1737823694.2920277,-120
1737823694.2970278,-136
1737823694.3020277,-131
1737823694.3070278,-107
1737823694.3120277,-79
1737823694.3170278,-74
1737823694.3220277,-85
1737823694.3274505,-83
1737823694.3324506,-60
1737823694.3374505,-19
1737823694.3424506,4
1737823694.3474505,-6
1737823694.3524506,-34
1737823694.3574505,-65
1737823694.3624506,-84
1737823694.3674507,-88
1737823694.3724506,-88
1737823694.3774507,-110
1737823694.3824506,-153
1737823694.3874507,-182
1737823694.3924506,-164
1737823694.3974507,-126
1737823694.4024506,-108
1737823694.4078734,-124
1737823694.4128735,-137
1737823694.4178734,-127
1737823694.4228735,-97
1737823694.4278734,-68
1737823694.4328735,-60
1737823694.4378734,-92
1737823694.4428735,-142
1737823694.4478734,-140
1737823694.4528735,-19
1737823694.4578733,313
1737823694.4628735,943
1737823694.4678733,1695
1737823694.4728734,2003
1737823694.4778733,1364
1737823694.4828734,-35
1737823694.4882963,-1349
1737823694.4932961,-1893
1737823694.4982963,-1725
1737823694.5032961,-1324
1737823694.5082963,-984
1737823694.5132961,-669
1737823694.5182962,-347
1737823694.523296,-109
1737823694.5282962,-21
1737823694.533296,-30
1737823694.5382962,-43
1737823694.543296,-19
1737823694.5482962,-4
1737823694.553296,-45
1737823694.5582962,-108
1737823694.5632963,-124
1737823694.568719,-78
1737823694.5737188,-27
1737823694.578719,-10
1737823694.5837188,-26
1737823694.588719,-60
1737823694.5937188,-95
1737823694.598719,-101
1737823694.6037188,-76
1737823694.6087189,-54
1737823694.6137187,-64
1737823694.6187189,-83
1737823694.6237187,-82
1737823694.6287189,-60
1737823694.6337187,-59
1737823694.6387188,-75
1737823694.6437187,-72
1737823694.6491416,-51
1737823694.6541417,-52
1737823694.6591415,-82
1737823694.6641417,-102
1737823694.6691415,-79
1737823694.6741416,-29
1737823694.6791415,-7
1737823694.6841416,-25
1737823694.6891415,-53
1737823694.6941416,-72
1737823694.6991415,-87
1737823694.7041416,-88
1737823694.7091415,-65
1737823694.7141416,-34
1737823694.7191415,-32
1737823694.7241416,-64
1737823694.7295644,-103
1737823694.7345643,-102
1737823694.7395644,-77
1737823694.7445643,-72
1737823694.7495644,-99
1737823694.7545643,-128
1737823694.7595644,-142
1737823694.7645645,-142
1737823694.7695644,-157
1737823694.7745645,-186
1737823694.7795644,-216
1737823694.7845645,-214
1737823694.7895644,-195
1737823694.7945645,-174
1737823694.7995644,-164
1737823694.8045645,-146
1737823694.8099873,-125
1737823694.8149872,-117
1737823694.8199873,-128
1737823694.8249872,-132
1737823694.8299873,-116
1737823694.8349872,-85
1737823694.8399873,-62
1737823694.8449872,-64
1737823694.8499873,-78
1737823694.8549871,-94
1737823694.8599873,-102
1737823694.8649871,-97
1737823694.8699872,-86
1737823694.8749871,-82
1737823694.8799872,-80
1737823694.884987,-85
1737823694.89041,-91
1737823694.89541,-89
1737823694.90041,-67
1737823694.90541,-51
1737823694.91041,-67
1737823694.91541,-106
1737823694.92041,-131
1737823694.92541,-121
1737823694.93041,-91
1737823694.93541,-70
1737823694.94041,-70
1737823694.94541,-84
1737823694.95041,-109
1737823694.95541,-120
1737823694.96041,-93
1737823694.96541,-52
1737823694.9708328,-47
1737823694.9758327,-94
1737823694.9808328,-150
1737823694.9858327,-154
1737823694.9908328,-104
1737823694.9958327,-42
1737823695.0008328,-31
1737823695.005833,-75
1737823695.0108328,-124
1737823695.015833,-132
1737823695.0208328,-96
1737823695.025833,-40
1737823695.0308328,-11
1737823695.035833,-16
1737823695.0408328,-42
1737823695.0458329,-59
1737823695.0512557,-66
1737823695.0562556,-65
1737823695.0612557,-68
1737823695.0662556,-81
1737823695.0712557,-107
1737823695.0762556,-130
1737823695.0812557,-148
1737823695.0862556,-157
1737823695.0912557,-165
1737823695.0962555,-151
1737823695.1012557,-120
